module,alpha,seed,n_iters,total_steps,train_return_late,train_return_early,train_return_delta,train_task_score,train_capture_rate,train_pursuer_dist,eval_return,eval_task_score,eval_capture,eval_pursuer_dist,explained_variance,entropy,policy_loss,value_loss,approx_kl,clipfrac,grad_norm,ratio0_max,ratio0_min,nan_count,cap_c1_participation,marginal_c1_rate,knn_c1_sighted_frac,dist_full_sight,dist_sensor_limited
attention_zm,0.25,0,625,2000000,-23.99569270783855,-660.244864921416,636.2491722135775,0.14630315776040204,0.7142137096774194,0.9532949808191868,23.58371900767088,0.16992345037074008,0.32,0.8834466400300152,0.9537402362592758,0.9334771014990345,-0.0002861074873611628,0.008541357582585176,0.0006291906795633486,0.0034525201679864196,0.2058373225912932,1.0,1.0,0,0.2797933467741936,0.17464717741935484,0.8766035827417527,2.6204750698876955,1.8096635909546768
attention_zm,0.25,1,625,2000000,-41.055839681336955,-649.9158989383328,608.8600592569959,0.13715290715061418,0.6955645161290323,0.9788642271740302,370.9382383674383,0.3525217736389229,0.495,0.40421194290276613,0.9533004953015235,0.9180910340239925,-0.00029340088505314235,0.01053886430548319,0.0006831566987010457,0.004592590722765387,0.23137939849327646,1.0,1.0,0,0.26719254032258066,0.17239919354838712,0.8704363883887567,2.7042466678662644,1.842289618626237
attention_zm,0.25,2,625,2000000,-27.493237964959153,-685.805184548901,658.3119465839419,0.14000549696494205,0.7116935483870968,0.9817845576881402,471.97736271098256,0.358763482446279,0.59625,0.662211338597117,0.9488826672877034,0.8904960815944979,-0.0002764539311533696,0.010147503238441671,0.0006416455780595971,0.004163407267333202,0.2547992692599374,1.0,1.0,0,0.2737953629032258,0.17715725806451615,0.8686557136427973,2.504476531522889,1.8801426251112454
attention_zm,0.25,3,625,2000000,-43.709005514700564,-683.757731545356,640.0487260306554,0.14246015863944914,0.6819556451612904,0.9914139988105144,207.00492985919118,0.18351763946782412,0.455,1.4793359212204813,0.9508250826789487,0.9440206431573438,-0.00033904719451536067,0.008336022053845179,0.0008060143612323179,0.005287298402529976,0.2948007064841447,1.0,1.0,0,0.2764868951612904,0.17566028225806457,0.886205397940451,2.6688799939857373,1.9620465591021121
attention_zm,0.25,4,625,2000000,-19.792808470706785,-589.9656444364979,570.1728359657911,0.14359748342326584,0.7152217741935484,0.9468624628671714,-177.50814687088132,0.08306845632017035,0.145,0.7455895473761484,0.9525484019710172,0.9728287317099108,-0.0003076992996317593,0.009232381507453855,0.0006665885429824407,0.0037408770180556734,0.23391647453029307,1.0,1.0,0,0.2748739919354839,0.17366431451612904,0.8821248968474327,2.550587397388393,1.7766020782243823
attention_zm,0.5,0,625,2000000,119.88118008452076,-659.2128292591341,779.0940093436549,0.19018687898833056,0.9304435483870968,0.8766979267880801,76.38130526989698,0.17227592794080715,0.32,0.8574865845730528,0.9522728843073691,0.6833124776040355,-0.0002273339003343019,0.004534370751841128,0.00042555009108364433,0.0029206653235661854,0.2305760039677543,1.0,1.0,0,0.35184475806451626,0.24412802419354837,0.9367922375567497,2.636446234374758,1.2091679058788762
attention_zm,0.5,1,625,2000000,112.20712756774118,-637.3335967909906,749.5407243587317,0.18531940429179175,0.9284274193548387,0.8703101272135974,371.31374751776457,0.34900861264753974,0.495,0.4183166340005118,0.9396479052882041,0.7825872154966477,-0.00025868341727510705,0.005793781776071267,0.0004002420634661074,0.002387399191555248,0.17509741674387644,1.0,1.0,0,0.3436542338709678,0.2391078629032258,0.9362622837866507,2.6476363697287537,1.1908026608476234
attention_zm,0.5,2,625,2000000,133.51588263362646,-615.5461699193523,749.0620525529788,0.1939239007103069,0.9334677419354839,0.8856091697405902,485.62857138738036,0.3804713914302421,0.605,0.5901334934105398,0.946073111987883,0.7191785738352806,-0.00023501237053550887,0.005454025095358683,0.00040378844438643724,0.002479889121047603,0.18718051821474102,1.0,1.0,0,0.36232358870967735,0.25336693548387096,0.9357395294308661,2.497235050201416,1.2173125807219936
attention_zm,0.5,3,625,2000000,111.19424255624894,-657.9338140026216,769.1280565588705,0.18497375881231573,0.922883064516129,0.8863180398039759,266.08177007362247,0.2018035433631522,0.485,1.4033729859848973,0.9459124649724653,0.7606141770078289,-0.0002562279765576899,0.004814543679446658,0.0004310756418339169,0.002794556457023775,0.22552115578324564,1.0,1.0,0,0.3446270161290322,0.24241935483870966,0.9368577614811155,2.623782875903191,1.2285088684409855
attention_zm,0.5,4,625,2000000,141.87786908832288,-526.3540251995287,668.2318942878516,0.19844034272602362,0.9450604838709677,0.8500660332965275,-71.01415168866515,0.12419933692440195,0.22,0.7719377024751156,0.9484377243826466,0.6933640914578593,-0.00030146694244873365,0.004546245290417049,0.0005414160542884225,0.003147983867957846,0.2522880355557126,1.0,1.0,0,0.36332157258064524,0.2535181451612903,0.9348070707628803,2.5139357410106933,1.1748532908085372
