=============================
Job ID:       599229
Array Task:   13
Node:         evc39
GPU:          0
Start time:   Tue Apr 28 15:19:11 EDT 2026
=============================
Running: PCP HetNet r=1.5 s=1/i=3 --discrete
Using device: cpu
Env: PCP | 1S + 3I | world=5.0 | max_steps=80

[HetNet] iter=20/1500 steps=5120/384000 | pi_s=0.0001 pi_i=0.0001 v=169.2871 ent_s=1.552 ent_i=1.578 ret=-54.903 ev_s_post=-0.002 ev_i_post=-0.012 r_s=1.000 r_i=1.000 
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6856 reward_min=-1.0152 reward_max=-0.3424
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6853 reward_min=-1.0141 reward_max=-0.3421
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6850 reward_min=-1.0123 reward_max=-0.3409
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7684 reward_min=-1.4619 reward_max=1.7159
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7079 reward_global_std=0.2509
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6713 reward_min=-1.0516 reward_max=-0.3400
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6713 reward_min=-1.0526 reward_max=-0.3396
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6712 reward_min=-1.0523 reward_max=-0.3383
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7112 reward_min=-1.4412 reward_max=1.5489
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6583 reward_global_std=0.3737
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6709 reward_min=-1.0485 reward_max=1.3764
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6708 reward_min=-1.0487 reward_max=1.3765
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6707 reward_min=-1.0490 reward_max=1.3771
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.6698 reward_min=-1.4165 reward_max=1.5639
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6314 reward_global_std=0.3940
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6703 reward_min=-1.0169 reward_max=1.5601
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6702 reward_min=-1.0173 reward_max=1.5598
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6701 reward_min=-1.0183 reward_max=1.5597
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7154 reward_min=-1.3109 reward_max=1.5891
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6777 reward_global_std=0.2978
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6663 reward_min=-1.0751 reward_max=1.5933
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6662 reward_min=-1.0748 reward_max=1.5938
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6661 reward_min=-1.0750 reward_max=1.5940
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.6647 reward_min=-1.4183 reward_max=1.6287
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6409 reward_global_std=0.4518
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6718 reward_min=-1.1170 reward_max=-0.1890
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6717 reward_min=-1.1167 reward_max=-0.1882
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6717 reward_min=-1.1169 reward_max=-0.1871
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.6771 reward_min=-1.2838 reward_max=1.5775
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6449 reward_global_std=0.3980
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6864 reward_min=-1.0830 reward_max=1.5411
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6863 reward_min=-1.0823 reward_max=1.5412
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6862 reward_min=-1.0815 reward_max=1.5409
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7142 reward_min=-1.4030 reward_max=1.5373
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6755 reward_global_std=0.3469
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6795 reward_min=-0.9887 reward_max=-0.3461
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6793 reward_min=-0.9887 reward_max=-0.3469
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6791 reward_min=-0.9893 reward_max=-0.3471
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.6642 reward_min=-1.3858 reward_max=1.4583
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6357 reward_global_std=0.3924
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6768 reward_min=-1.1204 reward_max=-0.2218
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6767 reward_min=-1.1206 reward_max=-0.2209
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6766 reward_min=-1.1212 reward_max=-0.2201
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7021 reward_min=-1.4283 reward_max=1.5105
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6482 reward_global_std=0.4165
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6650 reward_min=-1.1409 reward_max=1.4729
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6648 reward_min=-1.1405 reward_max=1.4733
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6646 reward_min=-1.1401 reward_max=1.4728
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.6488 reward_min=-1.3503 reward_max=1.5906
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6285 reward_global_std=0.4075
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6658 reward_min=-1.1095 reward_max=1.5723
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6657 reward_min=-1.1096 reward_max=1.5720
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6656 reward_min=-1.1100 reward_max=1.5717
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.6980 reward_min=-1.3611 reward_max=1.6076
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6686 reward_global_std=0.3270
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6596 reward_min=-1.2036 reward_max=1.4227
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6595 reward_min=-1.2027 reward_max=1.4229
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6593 reward_min=-1.2012 reward_max=1.4230
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.6543 reward_min=-1.4558 reward_max=1.6663
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6405 reward_global_std=0.3735
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6835 reward_min=-1.0148 reward_max=-0.2693
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6834 reward_min=-1.0151 reward_max=-0.2704
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6833 reward_min=-1.0155 reward_max=-0.2711
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7580 reward_min=-1.3699 reward_max=1.7327
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.7045 reward_global_std=0.2303
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6982 reward_min=-1.0895 reward_max=-0.3684
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6980 reward_min=-1.0886 reward_max=-0.3696
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6979 reward_min=-1.0872 reward_max=-0.3706
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7204 reward_min=-1.3772 reward_max=1.4710
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6845 reward_global_std=0.3491
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6729 reward_min=-0.9980 reward_max=-0.3622
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6727 reward_min=-0.9987 reward_max=-0.3623
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6725 reward_min=-0.9993 reward_max=-0.3616
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.6610 reward_min=-1.2483 reward_max=1.5996
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6576 reward_global_std=0.2887
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6837 reward_min=-1.0609 reward_max=-0.3518
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6836 reward_min=-1.0620 reward_max=-0.3511
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6835 reward_min=-1.0639 reward_max=-0.3491
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.6668 reward_min=-1.3911 reward_max=1.6788
  [ROLLOUT SUMMARY] total_dones=768 expected_80step_eps≈768 reward_global_mean=-0.6582 reward_global_std=0.3795
  [DIAG] t=0 done_sum=0/256 reward_mean=-0.6897 reward_min=-1.1076 reward_max=-0.3659
  [DIAG] t=1 done_sum=0/256 reward_mean=-0.6896 reward_min=-1.1080 reward_max=-0.3657
  [DIAG] t=2 done_sum=0/256 reward_mean=-0.6894 reward_min=-1.1087 reward_max=-0.3657
  [DIAG] t=255 done_sum=0/256 reward_mean=-0.7042 reward_min=-1.3431 reward_max=1.5490
